date,product,customer_segment,price,competitor_price,quantity_sold,unit_cost,inventory_level,days_since_promotion,competitor_promotion,month,quarter,day_of_week,revenue,cost,profit,margin_percent,price_diff_competitor,price_tier,year,week_of_year,day_of_year,is_academic_start,is_summer_slowdown,is_year_end,is_quarter_end,season,inventory_pct,inventory_status,high_inventory_flag,price_inventory_pressure,price_vs_product_norm,overpriced_overstocked,price_ma_7d,price_ma_30d,price_momentum,qty_ma_7d,qty_ma_30d,demand_trend,product_encoded,segment_encoded,season_encoded,profit_per_unit,margin_pct
2021-01-01,Centrifuge,Biotech,12392.5,13059.17,114,4560.0,172,92,0,1,1,4,1412745.0,519840.0,892905.0,63.2,-666.6700000000001,Medium,2021,53,1,0,0,0,0,Winter,86.4,Very_High,1,107.0712,0.03374977689843105,1,12392.5,12392.5,0.0,114.0,114.0,0.0,0,1,3,7832.5,63.2
2021-01-01,Centrifuge,Academic,13666.65,12680.63,51,4560.0,185,86,0,1,1,4,696999.15,232560.0,464439.15,66.63,986.0200000000004,High,2021,53,1,0,0,0,0,Winter,93.0,Very_High,1,127.09984499999999,0.1400360208552707,1,13029.575,13029.575,4.89,82.5,82.5,0.0,0,0,3,9106.65,66.63
2021-01-01,Centrifuge,Pharma,12983.88,14046.56,123,4560.0,33,94,0,1,1,4,1597017.24,560880.0,1036137.24,64.88,-1062.6800000000003,High,2021,53,1,0,0,0,0,Winter,16.6,Low,0,21.5532408,0.08308114208400243,0,13014.343333333332,13014.343333333332,-0.23,96.0,96.0,0.0,0,3,3,8423.88,64.88
2021-01-01,Centrifuge,Government,10841.36,11594.47,113,4560.0,157,66,0,1,1,4,1225073.6800000002,515280.0,709793.6800000002,57.94,-753.1099999999988,Low,2021,53,1,0,0,0,0,Winter,78.9,Very_High,1,85.5383304,-0.09564224480326206,0,12471.0975,12471.0975,-13.07,100.25,100.25,0.0,0,2,3,6281.36,57.94
2021-01-02,Centrifuge,Government,13639.18,14533.09,101,4560.0,120,22,0,1,1,5,1377557.18,460560.0,916997.18,66.57,-893.9099999999999,High,2021,53,2,0,0,0,0,Winter,60.3,High,0,82.24425539999999,0.13774454565886973,0,12704.714,12704.714,7.36,100.4,100.4,0.0,0,2,3,9079.18,66.57
2021-01-03,Centrifuge,Pharma,11294.65,10184.51,178,4560.0,70,147,0,1,1,6,2010447.7,811680.0,1198767.7,59.63,1110.1399999999994,Low,2021,53,3,0,0,0,0,Winter,35.2,Medium,0,39.75716800000001,-0.057829984454640805,0,12469.703333333333,12469.703333333333,-9.42,113.33333333333333,113.33333333333333,0.0,0,3,3,6734.65,59.63
2021-01-03,Centrifuge,Government,10534.3,9993.71,109,4560.0,121,2,0,1,1,6,1148238.7,497040.0,651198.7,56.71,540.5900000000001,Low,2021,53,3,0,0,0,0,Winter,60.8,High,0,64.04854399999999,-0.12125638291053932,0,12193.217142857144,12193.217142857144,-13.61,112.71428571428571,112.71428571428571,0.0,0,2,3,5974.3,56.71
2021-01-05,Centrifuge,Government,12241.38,11251.2,95,4560.0,62,114,0,1,1,1,1162931.1,433200.0,729731.0999999999,62.75,990.1799999999985,Medium,2021,1,5,0,0,0,0,Winter,31.2,Medium,0,38.193105599999996,0.021143743710221104,0,12171.628571428571,12199.2375,0.35,110.0,110.5,-0.5,0,2,3,7681.38,62.75
2021-01-06,Centrifuge,Biotech,12517.75,12167.06,116,4560.0,3,0,0,1,1,2,1452059.0,528960.0,923099.0,63.57,350.6900000000005,Medium,2021,1,6,0,0,0,0,Winter,1.5,Low,0,1.8776624999999998,0.04419780268471537,0,12007.5,12234.627777777778,2.31,119.28571428571429,111.11111111111111,8.174603174603178,0,1,3,7957.75,63.57
2021-01-06,Centrifuge,Government,12246.2,13326.46,80,4560.0,68,122,0,1,1,2,979696.0,364800.0,614896.0,62.76,-1080.2599999999984,Medium,2021,1,6,0,0,0,0,Winter,34.2,Medium,0,41.882004,0.02154581544107864,0,11902.117142857143,12235.785,0.09,113.14285714285714,108.0,5.142857142857139,0,2,3,7686.2,62.76
2021-01-06,Centrifuge,Government,13746.0,12551.81,95,4560.0,67,51,0,1,1,2,1305870.0,433200.0,872670.0,66.83,1194.1900000000005,High,2021,1,6,0,0,0,0,Winter,33.7,Medium,0,46.324020000000004,0.14665518928753948,0,12317.065714285713,12373.077272727272,11.1,110.57142857142857,106.81818181818181,3.7532467532467564,0,2,3,9186.0,66.83
2021-01-06,Centrifuge,Biotech,12035.48,11574.5,116,4560.0,105,169,1,1,1,2,1396115.68,528960.0,867155.6799999999,62.11,460.97999999999956,Medium,2021,1,6,0,0,0,0,Winter,52.8,High,0,63.547334400000004,0.003968106908656723,0,12087.965714285716,12344.944166666666,-2.51,112.71428571428571,107.58333333333333,5.13095238095238,0,1,3,7475.48,62.11
2021-01-07,Centrifuge,Pharma,10361.52,10489.91,162,4560.0,6,11,0,1,1,3,1678566.24,738720.0,939846.24,55.99,-128.38999999999942,Low,2021,1,7,0,0,0,0,Winter,3.0,Low,0,3.108456,-0.13566923636646103,0,11954.66142857143,12192.373076923077,-15.02,110.42857142857143,111.76923076923077,-1.340659340659343,0,3,3,5801.52,55.99
2021-01-07,Centrifuge,Government,11848.58,12004.91,103,4560.0,157,167,0,1,1,3,1220403.74,469680.0,750723.74,61.51,-156.32999999999993,Medium,2021,1,7,0,0,0,0,Winter,78.9,Very_High,1,93.48529620000001,-0.011622599833511233,0,12142.415714285713,12167.816428571428,-2.62,109.57142857142857,111.14285714285714,-1.5714285714285694,0,2,3,7288.58,61.51
2021-01-08,Centrifuge,Government,13021.93,12902.69,89,4560.0,27,153,0,1,1,4,1158951.77,405840.0,753111.77,64.98,119.23999999999978,High,2021,1,8,0,0,0,0,Winter,13.6,Low,0,17.709824800000003,0.08625517307137272,0,12253.922857142858,12224.757333333333,6.52,108.71428571428571,109.66666666666667,-0.9523809523809632,0,2,3,8461.93,64.98
2021-01-09,Centrifuge,Biotech,13488.79,12761.41,113,4560.0,176,101,0,1,1,5,1524233.27,515280.0,1008953.27,66.19,727.380000000001,High,2021,1,9,0,0,0,0,Winter,88.4,Very_High,1,119.2409036,0.12519940715188935,1,12392.642857142857,12303.759375,9.63,108.28571428571429,109.875,-1.5892857142857082,0,1,3,8928.79,66.19
2021-01-10,Centrifuge,Academic,11900.15,11680.81,66,4560.0,79,71,0,1,1,6,785409.9,300960.0,484449.9,61.68,219.34000000000015,Medium,2021,1,10,0,0,0,0,Winter,39.7,Medium,0,47.2435955,-0.007320765982823173,0,12343.207142857142,12280.017647058823,-3.09,106.28571428571429,107.29411764705883,-1.0084033613445342,0,0,3,7340.15,61.68
2021-01-10,Centrifuge,Pharma,12419.29,11376.54,169,4560.0,32,96,0,1,1,6,2098860.01,770640.0,1328220.0100000002,63.28,1042.75,Medium,2021,1,10,0,0,0,0,Winter,16.1,Low,0,19.9950569,0.03598452828218008,0,12153.677142857143,12287.755,1.07,116.85714285714286,110.72222222222223,6.134920634920633,0,3,3,7859.29,63.28
2021-01-11,Centrifuge,Government,12402.85,12089.11,105,4560.0,178,171,0,1,1,0,1302299.25,478800.0,823499.25,63.23,313.7399999999998,Medium,2021,2,11,0,0,0,0,Winter,89.4,Very_High,1,110.88147900000001,0.03461314669394439,1,12206.158571428572,12293.812631578947,0.89,115.28571428571429,110.42105263157895,4.864661654135347,0,2,3,7842.85,63.23
2021-01-11,Centrifuge,Academic,11966.39,11049.48,76,4560.0,8,27,0,1,1,0,909445.64,346560.0,562885.6399999999,61.89,916.9099999999999,Medium,2021,2,11,0,0,0,0,Winter,4.0,Low,0,4.786556,-0.0017951992915379723,0,12435.425714285713,12277.441499999999,-2.53,103.0,108.7,-5.700000000000003,0,0,3,7406.39,61.89
2021-01-11,Centrifuge,Pharma,10543.55,10608.43,176,4560.0,63,176,1,1,1,0,1855664.8,802560.0,1053104.7999999998,56.75,-64.88000000000102,Low,2021,2,11,0,0,0,0,Winter,31.7,Medium,0,33.423053499999995,-0.1204847722237279,0,12248.992857142859,12194.87523809524,-13.54,113.42857142857143,111.9047619047619,1.5238095238095326,0,3,3,5983.55,56.75
2021-01-12,Centrifuge,Biotech,12150.84,13057.16,129,4560.0,148,80,0,1,1,1,1567458.36,588240.0,979218.36,62.47,-906.3199999999997,Medium,2021,2,12,0,0,0,0,Winter,74.4,High,0,90.4022496,0.013591134890339482,0,12124.551428571429,12192.873636363634,-0.34,119.14285714285714,112.68181818181819,6.461038961038952,0,1,3,7590.84,62.47
2021-01-12,Centrifuge,Biotech,12360.45,11510.69,118,4560.0,33,47,0,1,1,1,1458533.1,538080.0,920453.1,63.11,849.7600000000002,Medium,2021,2,12,0,0,0,0,Winter,16.6,Low,0,20.518347000000002,0.03107625014034398,0,11963.36,12200.159565217391,1.31,119.85714285714286,112.91304347826087,6.944099378881987,0,1,3,7800.45,63.11
2021-01-13,Centrifuge,Pharma,11006.34,10432.12,161,4560.0,62,162,0,1,1,2,1772020.74,734160.0,1037860.74,58.57,574.2199999999993,Low,2021,2,13,0,0,0,0,Winter,31.2,Medium,0,34.3397808,-0.0818800468454083,0,11835.672857142856,12150.417083333334,-9.42,133.42857142857142,114.91666666666667,18.511904761904745,0,3,3,6446.34,58.57
2021-01-13,Centrifuge,Pharma,12960.26,13814.57,115,4560.0,25,3,1,1,1,2,1490429.9,524400.0,966029.9,64.82,-854.3099999999995,High,2021,2,13,0,0,0,0,Winter,12.6,Low,0,16.329927599999998,0.08111082376805812,0,11912.954285714286,12182.810800000001,6.38,125.71428571428571,114.92,10.794285714285706,0,3,3,8400.26,64.82
2021-01-14,Centrifuge,Government,13110.23,12597.92,78,4560.0,83,91,0,1,1,3,1022597.94,355680.0,666917.94,65.22,512.3099999999995,High,2021,2,14,0,0,0,0,Winter,41.7,Medium,0,54.6696591,0.09362092697898867,0,12014.00857142857,12218.48076923077,7.3,121.85714285714286,113.5,8.357142857142861,0,2,3,8550.23,65.22
2021-01-14,Centrifuge,Biotech,12575.36,12120.32,127,4560.0,153,2,1,1,1,3,1597070.72,579120.0,1017950.72,63.74,455.0400000000009,High,2021,2,14,0,0,0,0,Winter,76.9,Very_High,1,96.70451840000001,0.04900347745954847,1,12101.004285714285,12231.698518518519,2.81,129.14285714285714,114.0,15.142857142857139,0,1,3,8015.36,63.74
2021-01-14,Centrifuge,Academic,12796.32,12792.06,55,4560.0,49,28,0,1,1,3,703797.6,250800.0,452997.6,64.36,4.260000000000218,High,2021,2,14,0,0,0,0,Winter,24.6,Low,0,31.478947200000004,0.06743537987661334,0,12422.82857142857,12251.863571428572,4.44,111.85714285714286,111.89285714285714,-0.035714285714277594,0,0,3,8236.32,64.36
2021-01-15,Centrifuge,Biotech,11500.5,11543.39,138,4560.0,95,21,1,1,1,4,1587069.0,629280.0,957789.0,60.35,-42.88999999999942,Medium,2021,2,15,0,0,0,0,Winter,47.7,Medium,0,54.857385,-0.040658518521653725,0,12329.922857142856,12225.95448275862,-5.93,113.14285714285714,112.79310344827586,0.34975369458128114,0,1,3,6940.5,60.35
2021-01-15,Centrifuge,Biotech,12999.56,14004.61,101,4560.0,33,129,0,1,1,4,1312955.56,460560.0,852395.56,64.92,-1005.0500000000011,High,2021,2,15,0,0,0,0,Winter,16.6,Low,0,21.5792696,0.08438912646986224,0,12421.224285714286,12251.741333333333,6.1,110.71428571428571,112.4,-1.6857142857142975,0,1,3,8439.56,64.92
2021-01-15,Centrifuge,Pharma,12233.66,11709.35,158,4560.0,92,80,0,1,1,4,1932918.28,720480.0,1212438.28,62.73,524.3099999999995,Medium,2021,2,15,0,0,0,0,Winter,46.2,Medium,0,56.5195092,0.020499761601876925,0,12596.555714285714,12246.446666666667,-0.1,110.28571428571429,113.86666666666666,-3.5809523809523682,0,3,3,7673.66,62.73
2021-01-15,Centrifuge,Pharma,11718.08,10739.33,172,4560.0,13,46,0,1,1,4,2015509.76,784320.0,1231189.76,61.09,978.75,Medium,2021,2,15,0,0,0,0,Winter,6.5,Low,0,7.616752000000001,-0.022508566820418255,0,12419.101428571428,12181.494333333332,-3.8,118.42857142857143,117.9,0.5285714285714249,0,3,3,7158.08,61.09
2021-01-16,Centrifuge,Pharma,13759.54,14017.82,129,4560.0,120,63,0,1,1,5,1774980.66,588240.0,1186740.66,66.86,-258.27999999999884,High,2021,2,16,0,0,0,0,Winter,60.3,High,0,82.9700262,0.1477846604982884,0,12511.86,12207.349666666667,12.72,125.71428571428571,118.1,7.614285714285714,0,3,3,9199.54,66.86
2021-01-17,Centrifuge,Academic,10617.04,10355.21,62,4560.0,108,162,0,1,1,6,658256.4800000001,282720.0,375536.4800000001,57.05,261.83000000000175,Low,2021,2,17,0,0,0,0,Winter,54.3,High,0,57.6505272,-0.11435442958872549,0,12232.1,12199.872333333333,-12.97,116.42857142857143,116.4,0.028571428571424917,0,0,3,6057.04,57.05
2021-01-17,Centrifuge,Academic,12707.17,13639.13,59,4560.0,199,130,0,1,1,6,749723.03,269040.0,480683.03,64.11,-931.9599999999991,High,2021,2,17,0,0,0,0,Winter,100.0,Very_High,1,127.0717,0.059998721203182254,1,12219.364285714286,12168.805333333332,4.42,117.0,115.0,2.0,0,0,3,8147.17,64.11
2021-01-18,Centrifuge,Pharma,11575.09,12527.56,140,4560.0,77,152,1,1,1,0,1620512.6,638400.0,982112.6,60.61,-952.4699999999993,Medium,2021,3,18,0,0,0,0,Winter,38.7,Medium,0,44.7955983,-0.034436416777949536,0,12230.02,12178.153333333334,-4.95,117.28571428571429,113.73333333333333,3.5523809523809575,0,3,3,7015.09,60.61
2021-01-18,Centrifuge,Pharma,13466.46,14267.12,148,4560.0,25,83,0,1,1,0,1993036.08,674880.0,1318156.0799999998,66.14,-800.6600000000017,High,2021,3,18,0,0,0,0,Winter,12.6,Low,0,16.967739599999998,0.12333669724524066,0,12296.72,12275.892,9.7,124.0,115.03333333333333,8.966666666666669,0,3,3,8906.46,66.14
2021-01-18,Centrifuge,Academic,11051.04,10325.74,61,4560.0,143,141,0,1,1,0,674113.4400000001,278160.0,395953.44000000006,58.74,725.3000000000011,Low,2021,3,18,0,0,0,0,Winter,71.9,High,0,79.45697760000002,-0.07815129033724928,0,12127.774285714288,12236.214,-9.69,110.14285714285714,113.9,-3.757142857142867,0,0,3,6491.04,58.74
2021-01-19,Centrifuge,Government,12037.67,11512.99,91,4560.0,75,147,1,1,1,1,1095427.97,414960.0,680467.97,62.12,524.6800000000003,Medium,2021,3,19,0,0,0,0,Winter,37.7,Medium,0,45.3820159,0.00415079095234509,0,12173.430000000002,12220.211333333333,-1.49,98.57142857142857,113.06666666666666,-14.495238095238093,0,2,3,7477.67,62.12
2021-01-21,Centrifuge,Government,10951.6,11498.38,87,4560.0,18,176,1,1,1,3,952789.2,396720.0,556069.2000000001,58.36,-546.7799999999988,Low,2021,3,21,0,0,0,0,Winter,9.0,Low,0,9.856440000000001,-0.08644631376390093,0,11772.295714285714,12177.058,-10.06,92.57142857142857,113.3,-20.728571428571428,0,2,3,6391.6,58.36
2021-01-22,Centrifuge,Pharma,12171.78,13249.17,128,4560.0,82,18,0,1,1,4,1557987.84,583680.0,974307.84,62.54,-1077.3899999999994,Medium,2021,3,22,0,0,0,0,Winter,41.2,Medium,0,50.14773360000001,0.01533789465053748,0,11994.401428571427,12124.584,0.39,102.0,114.4,-12.400000000000006,0,3,3,7611.78,62.54
2021-01-22,Centrifuge,Biotech,13572.38,13892.68,89,4560.0,72,90,0,1,1,4,1207941.8199999998,405840.0,802101.8199999998,66.4,-320.3000000000011,High,2021,3,22,0,0,0,0,Winter,36.2,Medium,0,49.1320156,0.132172265239518,0,12118.002857142857,12175.814,11.47,106.28571428571429,113.5,-7.214285714285708,0,1,3,9012.38,66.4
2021-01-22,Centrifuge,Biotech,12911.15,13141.39,101,4560.0,28,55,0,1,1,4,1304026.15,460560.0,843466.1499999999,64.68,-230.23999999999978,High,2021,3,22,0,0,0,0,Winter,14.1,Low,0,18.204721499999998,0.07701419665137604,0,12308.86857142857,12260.801666666668,5.3,100.71428571428571,111.46666666666667,-10.75238095238096,0,1,3,8351.15,64.68
2021-01-22,Centrifuge,Government,12077.77,10953.14,108,4560.0,54,171,1,1,1,4,1304399.16,492480.0,811919.1600000001,62.24,1124.630000000001,Medium,2021,3,22,0,0,0,0,Winter,27.1,Medium,0,32.73075670000001,0.007495827551387047,0,12110.484285714285,12268.441333333332,-1.55,95.0,111.63333333333334,-16.63333333333334,0,2,3,7517.77,62.24
2021-01-22,Centrifuge,Government,10699.82,10279.97,120,4560.0,77,38,0,1,1,4,1283978.4,547200.0,736778.3999999999,57.38,419.85000000000036,Low,2021,3,22,0,0,0,0,Winter,38.7,Medium,0,41.4083034,-0.10744913957205002,0,12060.31,12191.037666666667,-12.23,103.42857142857143,112.66666666666667,-9.23809523809524,0,2,3,6139.82,57.38
2021-01-23,Centrifuge,Pharma,11862.4,11284.48,165,4560.0,80,83,0,1,1,5,1957296.0,752400.0,1204896.0,61.56,577.9200000000001,Medium,2021,3,23,0,0,0,0,Winter,40.2,Medium,0,47.686848,-0.010469771758729226,0,12035.271428571428,12136.824666666666,-2.26,114.0,114.4,-0.4000000000000057,0,3,3,7302.4,61.56
2021-01-23,Centrifuge,Government,10853.92,11259.11,129,4560.0,147,132,0,1,1,5,1400155.68,588240.0,811915.6799999999,57.99,-405.1900000000005,Low,2021,3,23,0,0,0,0,Winter,73.9,High,0,80.2104688,-0.09459452261662951,0,12021.317142857142,12101.950333333334,-10.31,120.0,116.5,3.5,0,2,3,6293.92,57.99
2021-01-23,Centrifuge,Pharma,13073.83,14260.33,156,4560.0,195,176,0,1,1,5,2039517.48,711360.0,1328157.48,65.12,-1186.5,High,2021,3,23,0,0,0,0,Winter,98.0,Very_High,1,128.123534,0.09058453465467135,1,12150.18142857143,12123.768333333333,7.84,124.0,116.06666666666666,7.933333333333337,0,3,3,8513.83,65.12
