date,product,customer_segment,price,competitor_price,quantity_sold,unit_cost,inventory_level,days_since_promotion,competitor_promotion,month,quarter,day_of_week,revenue,cost,profit,margin_percent
2023-11-11,Pipettes,Academic,269.04,250.53,70,114.0,87,116,0,11,4,5,18832.800000000003,7980.0,10852.800000000003,57.63
2023-02-09,Microscope,Pharma,15998.99,17402.27,115,5700.0,187,20,0,2,1,3,1839883.8499999999,655500.0,1184383.8499999999,64.37
2021-09-10,PCR_System,Pharma,7836.67,7509.45,208,3040.0,169,14,0,9,3,4,1630027.36,632320.0,997707.3600000001,61.21
2023-04-12,Microscope,Government,14850.43,15919.49,107,5700.0,72,166,0,4,2,2,1588996.01,609900.0,979096.01,61.62
2021-01-14,Centrifuge,Government,13110.23,12597.92,78,4560.0,83,91,0,1,1,3,1022597.94,355680.0,666917.94,65.22
2023-02-15,Pipettes,Academic,258.09,279.22,82,114.0,103,131,0,2,1,2,21163.379999999997,9348.0,11815.379999999997,55.83
2022-12-04,PCR_System,Government,8821.48,8732.83,85,3040.0,13,94,1,12,4,6,749825.7999999999,258400.0,491425.79999999993,65.54
2021-10-23,Pipettes,Academic,331.01,347.38,77,114.0,23,153,1,10,4,5,25487.77,8778.0,16709.77,65.56
2022-05-08,Pipettes,Government,267.68,283.86,101,114.0,70,8,0,5,2,6,27035.68,11514.0,15521.68,57.41
2023-12-23,Pipettes,Government,328.39,341.98,92,114.0,32,122,0,12,4,5,30211.879999999997,10488.0,19723.879999999997,65.29
2023-11-18,PCR_System,Academic,8871.45,9090.21,57,3040.0,47,150,0,11,4,5,505672.65,173280.0,332392.65,65.73
2022-11-15,Reagent_Kit,Biotech,468.57,504.86,111,171.0,100,174,0,11,4,1,52011.27,18981.0,33030.27,63.51
2022-05-18,Centrifuge,Academic,12975.48,12959.38,66,4560.0,14,89,0,5,2,2,856381.6799999999,300960.0,555421.6799999999,64.86
2023-05-14,Reagent_Kit,Biotech,468.42,451.02,113,171.0,150,142,0,5,2,6,52931.46,19323.0,33608.46,63.49
2022-08-01,Pipettes,Academic,311.19,298.47,38,120.0,27,27,0,8,3,0,11825.22,4560.0,7265.219999999999,61.44
2021-07-09,Pipettes,Pharma,264.9,250.49,127,114.0,115,2,0,7,3,4,33642.299999999996,14478.0,19164.299999999996,56.96
2021-11-14,Microscope,Academic,13749.49,12704.15,68,5700.0,58,117,0,11,4,6,934965.32,387600.0,547365.32,58.54
2022-03-18,Centrifuge,Government,13664.81,12986.44,90,4560.0,112,100,0,3,1,4,1229832.9,410400.0,819432.8999999999,66.63
2021-04-23,Centrifuge,Biotech,13715.81,13471.77,87,4560.0,128,146,0,4,2,4,1193275.47,396720.0,796555.47,66.75
2022-12-31,Reagent_Kit,Government,515.56,488.97,87,171.0,183,122,0,12,4,5,44853.719999999994,14877.0,29976.719999999994,66.83
