date,product,customer_segment,price,competitor_price,quantity_sold,unit_cost,inventory_level,days_since_promotion,competitor_promotion,month,quarter,day_of_week,revenue,cost,profit,margin_percent,price_diff_competitor,price_ratio_competitor,price_pct_vs_competitor,is_premium_vs_competitor,product_base_price,price_vs_product_norm,price_tier,year,week_of_year,day_of_year,is_academic_start,is_summer_slowdown,is_year_end,is_quarter_end,is_weekend,season,competitive_intensity,promo_recency,inventory_pct,inventory_status,high_inventory_flag,price_inventory_pressure,overpriced_overstocked,competitor_promo_high_season,premium_in_low_season,product_segment_combo,price_ma_7d,price_ma_30d,price_momentum,qty_ma_7d,qty_ma_30d,demand_trend,product_encoded,segment_encoded,season_encoded,profit_per_unit,margin_pct
2021-01-01,Centrifuge,Biotech,12392.5,13059.17,114,4560.0,172,92,0,1,1,4,1412745.0,519840.0,892905.0,63.2,-666.6700000000001,0.9489500481271015,-5.1,0,11977.565,3.46,Medium,2021,53,1,0,0,0,0,0,Winter,0.0,Long_Ago,86.4,Very_High,1,0.0298944,1,0,0,Centrifuge_Biotech,12392.5,12392.5,0.0,114.0,114.0,0.0,0,1,3,7832.5,63.2
2021-01-01,Centrifuge,Academic,13666.65,12680.63,51,4560.0,185,86,0,1,1,4,696999.15,232560.0,464439.15,66.63,986.0200000000004,1.0777579662840095,7.78,1,11977.565,14.1,High,2021,53,1,0,0,0,0,0,Winter,0.0,Medium,93.0,Very_High,1,0.13113,1,0,0,Centrifuge_Academic,13029.575,13029.575,4.89,82.5,82.5,0.0,0,0,3,9106.65,66.63
2021-01-01,Centrifuge,Pharma,12983.88,14046.56,123,4560.0,33,94,0,1,1,4,1597017.24,560880.0,1036137.24,64.88,-1062.6800000000003,0.9243458896697839,-7.57,0,11977.565,8.4,High,2021,53,1,0,0,0,0,0,Winter,0.0,Long_Ago,16.6,Low,0,0.013944000000000002,0,0,0,Centrifuge_Pharma,13014.343333333332,13014.343333333332,-0.23,96.0,96.0,0.0,0,3,3,8423.88,64.88
2021-01-01,Centrifuge,Government,10841.36,11594.47,113,4560.0,157,66,0,1,1,4,1225073.6800000002,515280.0,709793.6800000002,57.94,-753.1099999999988,0.9350457588833299,-6.5,0,11977.565,-9.49,Low,2021,53,1,0,0,0,0,0,Winter,0.0,Medium,78.9,Very_High,1,-0.0748761,0,0,0,Centrifuge_Government,12471.0975,12471.0975,-13.07,100.25,100.25,0.0,0,2,3,6281.36,57.94
2021-01-02,Centrifuge,Government,13639.18,14533.09,101,4560.0,120,22,0,1,1,5,1377557.18,460560.0,916997.18,66.57,-893.9099999999999,0.9384914013468574,-6.15,0,11977.565,13.87,High,2021,53,2,0,0,0,0,1,Winter,0.0,Recent,60.3,High,0,0.08363609999999999,0,0,0,Centrifuge_Government,12704.714,12704.714,7.36,100.4,100.4,0.0,0,2,3,9079.18,66.57
2021-01-03,Centrifuge,Pharma,11294.65,10184.51,178,4560.0,70,147,0,1,1,6,2010447.7,811680.0,1198767.7,59.63,1110.1399999999994,1.109002789530375,10.9,1,11977.565,-5.7,Low,2021,53,3,0,0,0,0,1,Winter,0.0,Long_Ago,35.2,Medium,0,-0.020064000000000002,0,0,0,Centrifuge_Pharma,12469.703333333333,12469.703333333333,-9.42,113.33333333333333,113.33333333333333,0.0,0,3,3,6734.65,59.63
2021-01-03,Centrifuge,Government,10534.3,9993.71,109,4560.0,121,2,0,1,1,6,1148238.7,497040.0,651198.7,56.71,540.5900000000001,1.0540930245124183,5.41,1,11977.565,-12.05,Low,2021,53,3,0,0,0,0,1,Winter,0.0,Recent,60.8,High,0,-0.07326400000000001,0,0,0,Centrifuge_Government,12193.217142857144,12193.217142857144,-13.61,112.71428571428571,112.71428571428571,0.0,0,2,3,5974.3,56.71
2021-01-05,Centrifuge,Government,12241.38,11251.2,95,4560.0,62,114,0,1,1,1,1162931.1,433200.0,729731.0999999999,62.75,990.1799999999985,1.0880066126279861,8.8,1,11977.565,2.2,Medium,2021,1,5,0,0,0,0,0,Winter,0.0,Long_Ago,31.2,Medium,0,0.006864,0,0,0,Centrifuge_Government,12171.628571428571,12199.2375,0.35,110.0,110.5,-0.5,0,2,3,7681.38,62.75
2021-01-06,Centrifuge,Biotech,12517.75,12167.06,116,4560.0,3,0,0,1,1,2,1452059.0,528960.0,923099.0,63.57,350.6900000000005,1.0288229038074934,2.88,1,11977.565,4.51,Medium,2021,1,6,0,0,0,0,0,Winter,0.0,Recent,1.5,Low,0,0.0006765,0,0,0,Centrifuge_Biotech,12007.5,12234.627777777778,2.31,119.28571428571429,111.11111111111111,8.174603174603178,0,1,3,7957.75,63.57
2021-01-06,Centrifuge,Government,12246.2,13326.46,80,4560.0,68,122,0,1,1,2,979696.0,364800.0,614896.0,62.76,-1080.2599999999984,0.9189387129065034,-8.11,0,11977.565,2.24,Medium,2021,1,6,0,0,0,0,0,Winter,0.0,Long_Ago,34.2,Medium,0,0.0076608000000000015,0,0,0,Centrifuge_Government,11902.117142857143,12235.785,0.09,113.14285714285714,108.0,5.142857142857139,0,2,3,7686.2,62.76
2021-01-06,Centrifuge,Government,13746.0,12551.81,95,4560.0,67,51,0,1,1,2,1305870.0,433200.0,872670.0,66.83,1194.1900000000005,1.0951408601627972,9.51,1,11977.565,14.76,High,2021,1,6,0,0,0,0,0,Winter,0.0,Medium,33.7,Medium,0,0.049741200000000006,0,0,0,Centrifuge_Government,12317.065714285713,12373.077272727272,11.1,110.57142857142857,106.81818181818181,3.7532467532467564,0,2,3,9186.0,66.83
2021-01-06,Centrifuge,Biotech,12035.48,11574.5,116,4560.0,105,169,1,1,1,2,1396115.68,528960.0,867155.6799999999,62.11,460.97999999999956,1.0398272063588059,3.98,1,11977.565,0.48,Medium,2021,1,6,0,0,0,0,0,Winter,460.97999999999956,Long_Ago,52.8,High,0,0.0025344,0,0,0,Centrifuge_Biotech,12087.965714285716,12344.944166666666,-2.51,112.71428571428571,107.58333333333333,5.13095238095238,0,1,3,7475.48,62.11
2021-01-07,Centrifuge,Pharma,10361.52,10489.91,162,4560.0,6,11,0,1,1,3,1678566.24,738720.0,939846.24,55.99,-128.38999999999942,0.9877606194905391,-1.22,0,11977.565,-13.49,Low,2021,1,7,0,0,0,0,0,Winter,0.0,Recent,3.0,Low,0,-0.004046999999999999,0,0,0,Centrifuge_Pharma,11954.66142857143,12192.373076923077,-15.02,110.42857142857143,111.76923076923077,-1.340659340659343,0,3,3,5801.52,55.99
2021-01-07,Centrifuge,Government,11848.58,12004.91,103,4560.0,157,167,0,1,1,3,1220403.74,469680.0,750723.74,61.51,-156.32999999999993,0.9869778282386124,-1.3,0,11977.565,-1.08,Medium,2021,1,7,0,0,0,0,0,Winter,0.0,Long_Ago,78.9,Very_High,1,-0.008521200000000001,0,0,0,Centrifuge_Government,12142.415714285713,12167.816428571428,-2.62,109.57142857142857,111.14285714285714,-1.5714285714285694,0,2,3,7288.58,61.51
2021-01-08,Centrifuge,Government,13021.93,12902.69,89,4560.0,27,153,0,1,1,4,1158951.77,405840.0,753111.77,64.98,119.23999999999978,1.009241483752613,0.92,1,11977.565,8.72,High,2021,1,8,0,0,0,0,0,Winter,0.0,Long_Ago,13.6,Low,0,0.0118592,0,0,0,Centrifuge_Government,12253.922857142858,12224.757333333333,6.52,108.71428571428571,109.66666666666667,-0.9523809523809632,0,2,3,8461.93,64.98
2021-01-09,Centrifuge,Biotech,13488.79,12761.41,113,4560.0,176,101,0,1,1,5,1524233.27,515280.0,1008953.27,66.19,727.380000000001,1.0569984037814004,5.7,1,11977.565,12.62,High,2021,1,9,0,0,0,0,1,Winter,0.0,Long_Ago,88.4,Very_High,1,0.11156079999999999,1,0,0,Centrifuge_Biotech,12392.642857142857,12303.759375,9.63,108.28571428571429,109.875,-1.5892857142857082,0,1,3,8928.79,66.19
2021-01-10,Centrifuge,Academic,11900.15,11680.81,66,4560.0,79,71,0,1,1,6,785409.9,300960.0,484449.9,61.68,219.34000000000015,1.0187778073609621,1.88,1,11977.565,-0.65,Medium,2021,1,10,0,0,0,0,1,Winter,0.0,Medium,39.7,Medium,0,-0.0025805000000000003,0,0,0,Centrifuge_Academic,12343.207142857142,12280.017647058823,-3.09,106.28571428571429,107.29411764705883,-1.0084033613445342,0,0,3,7340.15,61.68
2021-01-10,Centrifuge,Pharma,12419.29,11376.54,169,4560.0,32,96,0,1,1,6,2098860.01,770640.0,1328220.0100000002,63.28,1042.75,1.0916579205980026,9.17,1,11977.565,3.69,Medium,2021,1,10,0,0,0,0,1,Winter,0.0,Long_Ago,16.1,Low,0,0.005940900000000001,0,0,0,Centrifuge_Pharma,12153.677142857143,12287.755,1.07,116.85714285714286,110.72222222222223,6.134920634920633,0,3,3,7859.29,63.28
